Date,Time,Stage [ft],Quality
4/14/2017,5:41:00 AM,926.09,200 (Unknown)
4/14/2017,5:56:00 AM,926.08,200 (Unknown)
4/14/2017,6:11:00 AM,926.08,200 (Unknown)
4/14/2017,6:26:00 AM,926.09,200 (Unknown)
4/14/2017,6:41:00 AM,926.09,200 (Unknown)
4/14/2017,6:56:00 AM,926.1,200 (Unknown)
4/14/2017,7:11:00 AM,926.08,200 (Unknown)
4/14/2017,7:26:00 AM,926.09,200 (Unknown)
4/14/2017,7:41:00 AM,926.09,200 (Unknown)
4/14/2017,7:56:00 AM,926.09,200 (Unknown)
4/14/2017,8:11:00 AM,926.09,200 (Unknown)
4/14/2017,8:26:00 AM,926.09,200 (Unknown)
4/14/2017,8:41:00 AM,926.1,200 (Unknown)
4/14/2017,8:56:00 AM,926.08,200 (Unknown)
4/14/2017,9:11:00 AM,926.08,200 (Unknown)
4/14/2017,9:26:00 AM,926.09,200 (Unknown)
4/14/2017,9:41:00 AM,926.08,200 (Unknown)
4/14/2017,9:56:00 AM,926.08,200 (Unknown)
4/14/2017,10:11:00 AM,926.09,200 (Unknown)
4/14/2017,10:26:00 AM,926.09,200 (Unknown)
4/14/2017,10:41:00 AM,926.08,200 (Unknown)
4/14/2017,10:56:00 AM,926.08,200 (Unknown)
4/14/2017,11:11:00 AM,926.09,200 (Unknown)
4/14/2017,11:26:00 AM,926.08,200 (Unknown)
4/14/2017,11:41:00 AM,926.09,200 (Unknown)
4/14/2017,11:56:00 AM,926.07,200 (Unknown)
4/14/2017,12:11:00 PM,926.1,200 (Unknown)
4/14/2017,12:26:00 PM,926.09,200 (Unknown)
4/14/2017,12:41:00 PM,926.07,200 (Unknown)
4/14/2017,12:56:00 PM,926.09,200 (Unknown)
4/14/2017,1:11:00 PM,926.08,200 (Unknown)
4/14/2017,1:26:00 PM,926.09,200 (Unknown)
4/14/2017,1:41:00 PM,926.11,200 (Unknown)
4/14/2017,1:56:00 PM,926.11,200 (Unknown)
4/14/2017,2:11:00 PM,926.1,200 (Unknown)
4/14/2017,2:26:00 PM,926.14,200 (Unknown)
4/14/2017,2:41:00 PM,926.11,200 (Unknown)
4/14/2017,2:56:00 PM,926.14,200 (Unknown)
4/14/2017,3:11:00 PM,926.16,200 (Unknown)
4/14/2017,3:26:00 PM,926.14,200 (Unknown)
4/14/2017,3:41:00 PM,926.15,200 (Unknown)
4/14/2017,3:56:00 PM,926.13,200 (Unknown)
4/14/2017,4:11:00 PM,926.15,200 (Unknown)
4/14/2017,4:26:00 PM,926.18,200 (Unknown)
4/14/2017,4:41:00 PM,926.15,200 (Unknown)
4/14/2017,4:56:00 PM,926.17,200 (Unknown)
