id,name,lat,lng
10013500,Unnamed,44.88293915,-93.68795645
10005000,Carl Krey,44.85154804,-93.68866349
27013309,Halsted Bay,44.913064299999995,-93.68913245
27018500,Saunders,44.9292351,-93.69114319
10004401,West Auburn,44.86798038,-93.69403050000001
10005300,Piersons,44.83267232,-93.69809572
10013800,Unnamed,44.88219862,-93.69917662
10019100,Unnamed,44.85328551,-93.69955777
27018300,Unnamed (Black),44.9350344,-93.70038603
10004900,Unnamed (Auburn Marsh),44.85940257,-93.7009469
10013900,Unnamed,44.875554,-93.70158897
27095800,Unnamed,44.91814195,-93.70283991
27093900,Unnamed,44.95153788,-93.70289687
27095700,Unnamed,44.91948799,-93.70312183
10014000,Unnamed,44.88001216,-93.70773829
10004300,Lundsten South Bay,44.86623538,-93.70904188
10014100,Unnamed,44.8881679,-93.71010547
10005100,Turbid,44.84992022,-93.71703851
10004200,Parley,44.88238143,-93.73093785
10019000,Unnamed,44.85991459,-93.73621933
27018600,Mud,44.8944434,-93.74118695
10014300,Unnamed,44.87818129,-93.74894941
